mysql> select category, description, count(refseq.id) from go, refseq, gorefs where category = 'Function' and gorefs.refseq_id = refseq.id and go.id = gorefs.go_id group by go.description order by count(refseq.id) desc;
+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| category | description                                                                                                                                                                                 | count(refseq.id) |
| Function | prolactin receptor binding                                                                                                                                                                  |                1 | 
| Function | interleukin-8 receptor binding                                                                                                                                                              |                1 | 
| Function | transforming growth factor beta receptor binding                                                                                                                                            |                1 | 
| Function | nerve growth factor receptor binding                                                                                                                                                        |                1 | 
| Function | vascular endothelial growth factor receptor binding                                                                                                                                         |                1 | 
| Function | CD27 receptor binding                                                                                                                                                                       |                1 | 
| Function | neuropeptide hormone activity                                                                                                                                                               |                1 | 
| Function | sodium channel activity                                                                                                                                                                     |                1 | 
| Function | high-affinity glutamate transmembrane transporter activity                                                                                                                                  |                1 | 
| Function | lipid transporter activity                                                                                                                                                                  |                1 | 
| Function | copper ion transmembrane transporter activity                                                                                                                                               |                1 | 
| Function | CMP-sialic acid transmembrane transporter activity                                                                                                                                          |                1 | 
| Function | pyruvate secondary active transmembrane transporter activity                                                                                                                                |                1 | 
| Function | androgen binding                                                                                                                                                                            |                1 | 
| Function | vitamin D binding                                                                                                                                                                           |                1 | 
| Function | 11-cis retinal binding                                                                                                                                                                      |                1 | 
| Function | all-trans retinal binding                                                                                                                                                                   |                1 | 
| Function | macrolide binding                                                                                                                                                                           |                1 | 
| Function | glucose binding                                                                                                                                                                             |                1 | 
| Function | glycosaminoglycan binding                                                                                                                                                                   |                1 | 
| Function | hyaluronic acid binding                                                                                                                                                                     |                1 | 
| Function | phosphatidylinositol-3,4,5-trisphosphate binding                                                                                                                                            |                1 | 
| Function | chemokine activity                                                                                                                                                                          |                1 | 
| Function | G-protein coupled photoreceptor activity                                                                                                                                                    |                1 | 
| Function | translation termination factor activity                                                                                                                                                     |                1 | 
| Function | peptide-methionine-(S)-S-oxide reductase activity                                                                                                                                           |                1 | 
| Function | phosphogluconate 2-dehydrogenase activity                                                                                                                                                   |                1 | 
| Function | quercetin 2,3-dioxygenase activity                                                                                                                                                          |                1 | 
| Function | nuclear localization sequence binding                                                                                                                                                       |                1 | 
| Function | negative transcription elongation factor activity                                                                                                                                           |                1 | 
| Function | N-methyltransferase activity                                                                                                                                                                |                1 | 
| Function | phosphatidate phosphatase activity                                                                                                                                                          |                1 | 
| Function | nucleotidase activity                                                                                                                                                                       |                1 | 
| Function | JAK pathway signal transduction adaptor activity                                                                                                                                            |                1 | 
| Function | double-stranded DNA specific exodeoxyribonuclease activity                                                                                                                                  |                1 | 
| Function | MP kinase activity                                                                                                                                                                          |                1 | 
| Function | arachidonic acid 14,15-epoxygenase activity                                                                                                                                                 |                1 | 
| Function | arachidonic acid 11,12-epoxygenase activity                                                                                                                                                 |                1 | 
| Function | 3'-5' exonuclease activity                                                                                                                                                                  |                1 | 
| Function | 5'-3' exonuclease activity                                                                                                                                                                  |                1 | 
| Function | 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity                                                                                                                          |                1 | 
| Function | vitamin E binding                                                                                                                                                                           |                1 | 
| Function | 3'(2'),5'-bisphosphate nucleotidase activity                                                                                                                                                |                1 | 
| Function | 3-hydroxyisobutyrate dehydrogenase activity                                                                                                                                                 |                1 | 
| Function | GDP-mannose 4,6-dehydratase activity                                                                                                                                                        |                1 | 
| Function | N-acetylglucosamine-6-sulfatase activity                                                                                                                                                    |                1 | 
| Function | alanine-glyoxylate transaminase activity                                                                                                                                                    |                1 | 
| Function | pyridoxal kinase activity                                                                                                                                                                   |                1 | 
| Function | diphosphoinositol-polyphosphate diphosphatase activity                                                                                                                                      |                1 | 
| Function | anion transmembrane transporter activity                                                                                                                                                    |                1 | 
| Function | proteasome inhibitor activity                                                                                                                                                               |                1 | 
| Function | protein phosphatase type 2A regulator activity                                                                                                                                              |                1 | 
| Function | NADPH dehydrogenase (quinone) activity                                                                                                                                                      |                1 | 
| Function | cob(I)yrinic acid a,c-diamide adenosyltransferase activity                                                                                                                                  |                1 | 
| Function | endochitinase activity                                                                                                                                                                      |                1 | 
| Function | exodeoxyribonuclease III activity                                                                                                                                                           |                1 | 
| Function | phospholipase A1 activity                                                                                                                                                                   |                1 | 
| Function | DNA-methyltransferase activity                                                                                                                                                              |                1 | 
| Function | biotin binding                                                                                                                                                                              |                1 | 
| Function | telomerase inhibitor activity                                                                                                                                                               |                1 | 
| Function | calcium-dependent protein kinase regulator activity                                                                                                                                         |                1 | 
| Function | thyroid hormone receptor activator activity                                                                                                                                                 |                1 | 
| Function | disulfide oxidoreductase activity                                                                                                                                                           |                1 | 
| Function | monovalent inorganic cation transmembrane transporter activity                                                                                                                              |                1 | 
| Function | arsenite transmembrane transporter activity                                                                                                                                                 |                1 | 
| Function | bile acid transmembrane transporter activity                                                                                                                                                |                1 | 
| Function | citrate transmembrane transporter activity                                                                                                                                                  |                1 | 
| Function | purine nucleoside transmembrane transporter activity                                                                                                                                        |                1 | 
| Function | acyl carnitine transporter activity                                                                                                                                                         |                1 | 
| Function | heme transporter activity                                                                                                                                                                   |                1 | 
| Function | glycerol channel activity                                                                                                                                                                   |                1 | 
| Function | channel activity                                                                                                                                                                            |                1 | 
| Function | potassium channel regulator activity                                                                                                                                                        |                1 | 
| Function | phospholipase A2 activator activity                                                                                                                                                         |                1 | 
| Function | lipase activity                                                                                                                                                                             |                1 | 
| Function | acetyltransferase activity                                                                                                                                                                  |                1 | 
| Function | rRNA (adenine) methyltransferase activity                                                                                                                                                   |                1 | 
| Function | growth hormone-releasing hormone receptor activity                                                                                                                                          |                1 | 
| Function | copper chaperone activity                                                                                                                                                                   |                1 | 
| Function | cyclin-dependent protein kinase 5 activator regulator activity                                                                                                                              |                1 | 
| Function | general transcriptional repressor activity                                                                                                                                                  |                1 | 
| Function | glycine binding                                                                                                                                                                             |                1 | 
| Function | monodehydroascorbate reductase (NADH) activity                                                                                                                                              |                1 | 
| Function | oxidoreductase activity, acting on sulfur group of donors, disulfide as acceptor                                                                                                            |                1 | 
| Function | oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water                               |                1 | 
| Function | hydroxymethyl-, formyl- and related transferase activity                                                                                                                                    |                1 | 
| Function | carboxyl- or carbamoyltransferase activity                                                                                                                                                  |                1 | 
| Function | phosphotransferase activity, phosphate group as acceptor                                                                                                                                    |                1 | 
| Function | hydrolase activity, acting on acid anhydrides                                                                                                                                               |                1 | 
| Function | racemase and epimerase activity                                                                                                                                                             |                1 | 
| Function | intramolecular transferase activity                                                                                                                                                         |                1 | 
| Function | intramolecular transferase activity, phosphotransferases                                                                                                                                    |                1 | 
| Function | endodeoxyribonuclease activity, producing 5'-phosphomonoesters                                                                                                                              |                1 | 
| Function | thiol oxidase activity                                                                                                                                                                      |                1 | 
| Function | TATA-binding protein binding                                                                                                                                                                |                1 | 
| Function | adrenocorticotropin-releasing hormone activity                                                                                                                                              |                1 | 
| Function | adrenocorticotropin-releasing hormone binding                                                                                                                                               |                1 | 
| Function | Rho GTPase binding                                                                                                                                                                          |                1 | 
| Function | 6-phosphogluconolactonase activity                                                                                                                                                          |                1 | 
| Function | sodium channel regulator activity                                                                                                                                                           |                1 | 
| Function | nucleoside-diphosphatase activity                                                                                                                                                           |                1 | 
| Function | serine hydrolase activity                                                                                                                                                                   |                1 | 
| Function | cysteine dioxygenase activity                                                                                                                                                               |                1 | 
| Function | glycine N-methyltransferase activity                                                                                                                                                        |                1 | 
| Function | formaldehyde dehydrogenase activity                                                                                                                                                         |                1 | 
| Function | malonate-semialdehyde dehydrogenase (acetylating) activity                                                                                                                                  |                1 | 
| Function | fluorene oxygenase activity                                                                                                                                                                 |                1 | 
| Function | benzaldehyde dehydrogenase activity                                                                                                                                                         |                1 | 
| Function | deoxyhypusine monooxygenase activity                                                                                                                                                        |                1 | 
| Function | aminobutyraldehyde dehydrogenase activity                                                                                                                                                   |                1 | 
| Function | nucleotide kinase activity                                                                                                                                                                  |                1 | 
| Function | SUMO ligase activity                                                                                                                                                                        |                1 | 
| Function | spermidine binding                                                                                                                                                                          |                1 | 
| Function | growth factor binding                                                                                                                                                                       |                1 | 
| Function | IgA binding                                                                                                                                                                                 |                1 | 
| Function | potassium channel inhibitor activity                                                                                                                                                        |                1 | 
| Function | kinesin binding                                                                                                                                                                             |                1 | 
| Function | interleukin-8 binding                                                                                                                                                                       |                1 | 
| Function | molybdenum ion binding                                                                                                                                                                      |                1 | 
| Function | voltage-gated proton channel activity                                                                                                                                                       |                1 | 
| Function | lipoprotein receptor activity                                                                                                                                                               |                1 | 
| Function | carbohydrate binding                                                                                                                                                                        |                1 | 
| Function | polysaccharide binding                                                                                                                                                                      |                1 | 
| Function | LRR domain binding                                                                                                                                                                          |                1 | 
| Function | protein kinase activator activity                                                                                                                                                           |                1 | 
| Function | protein phosphatase 2B binding                                                                                                                                                              |                1 | 
| Function | glutamate formimidoyltransferase activity                                                                                                                                                   |                1 | 
| Function | formimidoyltetrahydrofolate cyclodeaminase activity                                                                                                                                         |                1 | 
| Function | ankyrin binding                                                                                                                                                                             |                1 | 
| Function | cAMP binding                                                                                                                                                                                |                1 | 
| Function | U1 snRNA binding                                                                                                                                                                            |                1 | 
| Function | phosphatidylcholine binding                                                                                                                                                                 |                1 | 
| Function | eukaryotic initiation factor 4G binding                                                                                                                                                     |                1 | 
| Function | titin binding                                                                                                                                                                               |                1 | 
| Function | mitogen-activated protein kinase kinase kinase binding                                                                                                                                      |                1 | 
| Function | thyrotropin-releasing hormone receptor binding                                                                                                                                              |                1 | 
| Function | polyubiquitin binding                                                                                                                                                                       |                1 | 
| Function | hemoglobin alpha binding                                                                                                                                                                    |                1 | 
| Function | glucagon receptor binding                                                                                                                                                                   |                1 | 
| Function | myosin heavy chain binding                                                                                                                                                                  |                1 | 
| Function | dinucleotide insertion or deletion binding                                                                                                                                                  |                1 | 
| Function | MutLalpha complex binding                                                                                                                                                                   |                1 | 
| Function | demethylase activity                                                                                                                                                                        |                1 | 
| Function | lead ion binding                                                                                                                                                                            |                1 | 
| Function | choline binding                                                                                                                                                                             |                1 | 
| Function | choloyl-CoA hydrolase activity                                                                                                                                                              |                1 | 
| Function | ribonuclease T2 activity                                                                                                                                                                    |                1 | 
| Function | deoxyhypusine synthase activity                                                                                                                                                             |                1 | 
| Function | 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity                                                                                                                                         |                1 | 
| Function | apolipoprotein receptor binding                                                                                                                                                             |                1 | 
| Function | apolipoprotein A-I receptor binding                                                                                                                                                         |                1 | 
| Function | ubiquitin-ubiquitin ligase activity                                                                                                                                                         |                1 | 
| Function | type I transforming growth factor beta receptor binding                                                                                                                                     |                1 | 
| Function | histone deacetylase regulator activity                                                                                                                                                      |                1 | 
| Function | histone acetyltransferase binding                                                                                                                                                           |                1 | 
| Function | histone kinase activity                                                                                                                                                                     |                1 | 
| Function | siRNA binding                                                                                                                                                                               |                1 | 
| Function | glutamate-cysteine ligase catalytic subunit binding                                                                                                                                         |                1 | 
| Function | ATPase inhibitor activity                                                                                                                                                                   |                1 | 
| Function | neurexin binding                                                                                                                                                                            |                1 | 
| Function | histone methyltransferase activity                                                                                                                                                          |                1 | 
| Function | ISG15 ligase activity                                                                                                                                                                       |                1 | 
| Function | GDP-4-dehydro-D-rhamnose reductase activity                                                                                                                                                 |                1 | 
| Function | sphingosine-1-phosphate phosphatase activity                                                                                                                                                |                1 | 
| Function | flavin reductase activity                                                                                                                                                                   |                1 | 
| Function | ATPase activity, uncoupled                                                                                                                                                                  |                1 | 
| Function | histone methyltransferase activity (H3-K4 specific)                                                                                                                                         |                1 | 
| Function | ribosomal large subunit binding                                                                                                                                                             |                1 | 
| Function | ribosomal small subunit binding                                                                                                                                                             |                1 | 
| Function | single-stranded telomeric DNA binding                                                                                                                                                       |                1 | 
| Function | GTP cyclohydrolase I binding                                                                                                                                                                |                1 | 
| Function | tumor necrosis factor binding                                                                                                                                                               |                1 | 
| Function | organic acid binding                                                                                                                                                                        |                1 | 
| Function | vascular endothelial growth factor receptor 2 binding                                                                                                                                       |                1 | 
| Function | glycosphingolipid binding                                                                                                                                                                   |                1 | 
| Function | laminin binding                                                                                                                                                                             |                1 | 
| Function | laminin-1 binding                                                                                                                                                                           |                1 | 
| Function | heparan sulfate proteoglycan binding                                                                                                                                                        |                1 | 
| Function | bHLH transcription factor binding                                                                                                                                                           |                1 | 
| Function | insulin receptor substrate binding                                                                                                                                                          |                1 | 
| Function | electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity                                                            |                1 | 
| Function | cadherin binding                                                                                                                                                                            |                1 | 
| Function | uridine nucleosidase activity                                                                                                                                                               |                1 | 
| Function | dynein binding                                                                                                                                                                              |                1 | 
| Function | dynein light chain binding                                                                                                                                                                  |                1 | 
| Function | xylosylprotein 4-beta-galactosyltransferase activity                                                                                                                                        |                1 | 
| Function | 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity                                                                                                                          |                1 | 
| Function | histamine N-methyltransferase activity                                                                                                                                                      |                1 | 
| Function | ephrin receptor binding                                                                                                                                                                     |                1 | 
| Function | calcium oxalate binding                                                                                                                                                                     |                1 | 
| Function | 20-alpha-hydroxysteroid dehydrogenase activity                                                                                                                                              |                1 | 
| Function | prostaglandin-F synthase activity                                                                                                                                                           |                1 | 
| Function | 3-alpha(17-beta)-hydroxysteroid dehydrogenase (NAD+) activity                                                                                                                               |                1 | 
| Function | 3-alpha-hydroxysteroid dehydrogenase (B-specific) activity                                                                                                                                  |                1 | 
| Function | testosterone 17-beta-dehydrogenase (NADP+) activity                                                                                                                                         |                1 | 
| Function | 4-trimethylammoniobutyraldehyde dehydrogenase activity                                                                                                                                      |                1 | 
| Function | nicotinamide phosphoribosyltransferase activity                                                                                                                                             |                1 | 
| Function | all-trans-retinyl-palmitate hydrolase activity                                                                                                                                              |                1 | 
| Function | 3',5'-cyclic-GMP phosphodiesterase activity                                                                                                                                                 |                1 | 
| Function | 3-oxo-5-beta-steroid 4-dehydrogenase activity                                                                                                                                               |                1 | 
| Function | indanol dehydrogenase activity                                                                                                                                                              |                1 | 
| Function | chlordecone reductase activity                                                                                                                                                              |                1 | 
